,Avg_Connected_UEs,HO Failures,PRB Util%,HQ_EXE_TOTARGET_FAILURE_QCI_1,DL Packet Loss Pct,Bearer Drop Voice%,Bearer Drops,RRC Setup Failures,Bearer Setup Failure Voice%,HO_fail_InterFreq,Combined RACH Failure%,Avg CQI,QCI 1 Bearer Drop%,ERAB Setup Fail%,HO Failure%,TIMESTAMP,Bearer Drop%,DL_Coverage_Ratio,UL_Coverage_Ratio
0,28.9,0,14.18,0,0,0,0,1,0,0,0.04,10.67,0,0,0,1.69E+12,0,2.29,3.29
1,26.47,0,11.97,0,0,0,0,0,0,0,0.04,10.37,0,0,0,1.69E+12,0,3.08,4.08
2,22.45,0,5.66,0,0,0.027643312,0,0,0,0,0,10.03,0.027643312,0,0,1.69E+12,0,3.81,4.81
3,20.25,0,4.81,0.03,0,0,0,0,0,0,0.04,10.4,0,0.01,0,1.69E+12,0,2.45,3.45
4,20.09,0,11.96,0,0,0,0,0,0,0,0,9.93,0,0,0,1.69E+12,0,4.89,5.89
5,28.28,0,15.28,0,0,0,0,0,0,0,0.04,10.22,0,0,0,1.69E+12,0,4.85,5.85
6,32.45,0,21.46,0,0.01,0,0,2,0,0,0.06,8.57,0,0,0,1.69E+12,0,2.01,3.01
7,42.87,0,30.71,0.02,0,0,0,9,0,0,0.08,8.43,0,0.01,0,1.69E+12,0,2.99,3.99
8,54.09,0,36.73,0.03,0,0,0,5,0,0,0.07,8.42,0,0.03,0,1.69E+12,0,2.2,3.2
9,55.93,1,60.41,0,0,0,0,8,0,1,0.05,7.48,0,0,0.2,1.69E+12,0,2.14,3.14
10,55.08,0,43.82,0,0,0,1,2,0,0,0.11,7.61,0,0,0,1.69E+12,0.01,1.15,2.15
11,64.28,0,50.31,0.01,0,0,0,7,0,0,0.02,7.83,0,0.01,0,1.69E+12,0,3.44,4.44
12,68.52,0,62.12,0.01,0,0,0,9,0,0,0.08,7.55,0,0.01,0,1.69E+12,0,3.01,4.01
13,70.64,0,67.16,0,0,0,0,4,0,0,0.06,7.16,0,0,0,1.69E+12,0,1.21,2.21
14,66.76,0,69.93,0.03,0,0,1,1,0,0,0.11,7.82,0,0.03,0,1.69E+12,0.01,2.11,3.11
15,72.7,0,68.87,0.21,0.01,1.11,2,5,0,0,0.08,7.45,1.11,0.19,0,1.69E+12,0.01,4.63,5.63
16,65.84,0,59.3,0.01,0,0,0,7,0,0,0.11,7.08,0,0.01,0,1.69E+12,0,1.96,2.96
17,48.16,0,45.65,0.01,0,0,0,2,0,0,0.05,7.47,0,0.01,0,1.69E+12,0,1.58,2.58
18,48.61,0,41.85,0,0,0,0,4,0,0,0.09,7.87,0,0,0,1.69E+12,0,2.96,3.96
19,48.69,0,42.43,0,0,0,0,1,0,0,0.03,7.92,0,0,0,1.69E+12,0,4.94,5.94
20,41.75,0,27.46,0,0,3.23,3,2,0,1,0.03,8.04,3.23,0,0,1.69E+12,0.03,1.97,2.97
21,42.18,0,31.92,0,0,0,0,0,0,0,0,7.61,0,0,0,1.69E+12,0,3.69,4.69
22,39.24,0,24.25,0,0,0,0,0,0,0,0,8.9,0,0,0,1.69E+12,0,4.05,5.05
23,31.31,0,19.83,0,0,0,0,1,0,0,0,8.96,0,0,0,1.69E+12,0,1.95,2.95
24,30.1,0,23.64,0,0.02,0,2,0,0,0,0.04,9.92,0,0,0,1.69E+12,0.02,3.91,4.91
25,27.93,0,17.71,0,0,0,0,0,0,0,0,10.91,0,0,0,1.69E+12,0,2.47,3.47
26,23.79,0,10.13,0,0,0,0,0,0,0,0.04,10.58,0,0,0,1.69E+12,0,3.53,4.53
27,21.14,0,6.55,0,0,0,0,0,0,0,0,10.9,0,0,0,1.69E+12,0,3.53,4.53
28,18.93,0,5.83,0,0,0,0,0,0,0,0,11.42,0,0,0,1.69E+12,0,3.14,4.14
29,20.01,0,9.18,0,0,0,0,0,0,0,0,11.08,0,0,0,1.69E+12,0,1.36,2.36
30,23.42,0,8.34,0,0,0,0,0,0,0,0.04,10.53,0,0,0,1.69E+12,0,4.34,5.34
31,34.18,0,20.14,0,0.04,0,1,0,0,0,0,9.6,0,0,0,1.69E+12,0.01,2.28,3.28
32,44.12,0,32.5,0,0,0,0,0,0,0,0.06,8.27,0,0,0,1.69E+12,0,1.75,2.75
33,50.97,0,38.78,0,0,0,0,2,0,0,0.07,7.89,0,0,0,1.69E+12,0,1.16,2.16
34,57.72,0,50.65,0,0,0,0,1,0,0,0.07,7.91,0,0,0,1.69E+12,0,3.36,4.36
35,55.1,0,48.51,0,0,0,0,7,0,1,0.05,8.31,0,0,0,1.69E+12,0,3.71,4.71
36,51.15,0,43.03,0,0.01,0,2,0,0,0,0.02,7.56,0,0,0,1.69E+12,0.01,1.07,2.07
37,46.84,0,46.74,0,0,0,0,4,0,0,0.09,7.89,0,0,0,1.69E+12,0,3.05,4.05
38,43.46,0,35.54,0,0,0,0,0,0,0,0.07,8,0,0,0,1.69E+12,0,1.91,2.91
39,41.92,0,33.91,0,3.13,0,1,1,0,0,0.06,8.13,0,0,0,1.69E+12,0.01,3.58,4.58
40,39.73,0,24.19,0.02,0.01,0,0,0,0,0,0.1,8.91,0,0.02,0,1.69E+12,0,1.7,2.7
41,33.53,0,31.87,0,0,0,0,1,0,0,0.07,8.67,0,0,0,1.69E+12,0,3.76,4.76
42,32.71,0,27.02,0.02,0,0,0,1,0,0,0.07,8.05,0,0.02,0,1.69E+12,0,2.55,3.55
43,30.76,0,24.14,0,0,0,0,0,0,0,0.07,9.07,0,0,0,1.69E+12,0,4.75,5.75
44,30.88,0,27.55,0,0.02,0,3,2,0,0,0,8.23,0,0,0,1.69E+12,0.04,1.55,2.55
45,31.51,0,32.47,0,0,0,0,1,0,0,0,8.43,0,0,0,1.69E+12,0,2.36,3.36
46,31.32,0,29.97,0,0,0,0,0,0,0,0.04,8.41,0,0,0,1.69E+12,0,1.45,2.45
47,26.23,0,17.92,0,0,0,0,0,0,0,0.04,9.16,0,0,0,1.69E+12,0,4.7,5.7
48,19.55,0,14.15,0,0,0,0,0,0,0,0.05,10.11,0,0,0,1.69E+12,0,4.51,5.51
49,18.76,0,5.99,0,0,0,0,0,0,0,0,9.9,0,0,0,1.69E+12,0,2.03,3.03
50,18.96,0,5.76,0,0.01,0,0,0,0,0,0,9.91,0,0,0,1.69E+12,0,3.64,4.64
51,17.41,0,3.77,0,0,0,0,0,0,0,0,9.88,0,0,0,1.69E+12,0,4.27,5.27
52,16.1,0,3.73,0,0,0,0,0,0,0,0.05,9.72,0,0,0,1.69E+12,0,3.22,4.22
53,17.74,0,5.15,0,0,0.027643312,0,0,0,0,0,10.11,0.027643312,0,0,1.69E+12,0,3.12,4.12
54,19.14,0,6.84,0,0.05,0.027643312,0,0,0,0,0,9.87,0.027643312,0,0,1.69E+12,0,1.97,2.97
55,26.4,0,16.46,0,0,0,0,0,0,0,0,8.95,0,0,0,1.69E+12,0,1.37,2.37
56,31.56,0,17.7,0,0,0,1,0,0,0,0,9.08,0,0,0,1.69E+12,0.01,4.59,5.59
57,42.64,0,24.35,0.02,0,0,0,0,0,0,0.03,8.86,0,0.01,0,1.69E+12,0,4.6,5.6
58,44.25,0,25.36,0,0,0,0,0,0,0,0,9,0,0,0,1.69E+12,0,3.53,4.53
59,48.28,0,35.67,0.03,0,0,0,2,0,1,0.02,8.62,0,0.03,0,1.69E+12,0,2.36,3.36
60,41.36,0,26.54,0,0,0,0,0,0,0,0.06,9.05,0,0,0,1.69E+12,0,2.4,3.4
61,46.65,0,34.84,0,0,0,0,4,0,0,0.1,9.1,0,0,0,1.69E+12,0,3.9,4.9
62,41.81,0,31.1,0,0,0,0,0,0,0,0.03,10.06,0,0,0,1.69E+12,0,4.59,5.59
63,40.6,0,30.42,0,0,0,1,0,0,0,0,9.15,0,0,0,1.69E+12,0.01,4.55,5.55
64,38.53,0,31.18,0.02,0,0,0,0,0,0,0.04,9.79,0,0.01,0,1.69E+12,0,4.12,5.12
65,35.45,0,42.39,0.02,0,0,0,0,0,0,0,8.94,0,0.02,0,1.69E+12,0,3.57,4.57
66,38.9,0,49.96,0,0,0,0,0,0,0,0,9.07,0,0,0,1.69E+12,0,1.34,2.34
67,34.6,0,28.75,0,0,0,0,0,0,0,0.04,9.23,0,0,0,1.69E+12,0,1.65,2.65
68,41.74,0,42.46,0,0,0,0,1,0,0,0,10.13,0,0,0,1.69E+12,0,4.59,5.59
69,35.15,0,33.02,0,0,0,1,0,0,0,0,9.32,0,0,0,1.69E+12,0.01,3.43,4.43
70,33.41,0,30.13,0,0,0,0,0,0,0,0.04,8.69,0,0,0,1.69E+12,0,1.04,2.04
71,27.1,0,15.44,0,0,0,0,1,0,0,0.05,9.28,0,0,0,1.69E+12,0,1.41,2.41
72,22.05,0,10.56,0,0,0,0,0,0,0,0.05,9.7,0,0,0,1.69E+12,0,3.65,4.65
73,21.95,0,12.49,0,0,0,0,0,0,0,0,10.56,0,0,0,1.69E+12,0,1.02,2.02
74,20.21,0,7.36,0,0,0,0,0,0,0,0,10.39,0,0,0,1.69E+12,0,1.64,2.64
75,18.4,0,13.13,0,0,0,0,0,0,0,0,10.56,0,0,0,1.69E+12,0,3.19,4.19
76,16.56,0,4.14,0,0,0,0,0,0,0,0,10.32,0,0,0,1.69E+12,0,3.77,4.77
77,17.1,0,7.05,0,0,0.027643312,0,0,0,0,0.05,10.11,0.027643312,0,0,1.69E+12,0,3.61,4.61
78,20.09,0,9.7,0,0,0,0,0,0,0,0,9.61,0,0,0,1.69E+12,0,1.9,2.9
79,29.36,0,26.7,0,0,0,0,0,0,0,0.04,9.47,0,0,0,1.69E+12,0,3.85,4.85
80,40.14,0,27.92,0,0,0,0,2,0,0,0.09,9.22,0,0,0,1.69E+12,0,1.95,2.95
81,47.59,0,36.62,0,0,0,0,3,0,0,0.06,9.22,0,0,0,1.69E+12,0,2.3,3.3
82,51.1,0,42.5,0,0,0,1,3,0,0,0.03,8.73,0,0,0,1.69E+12,0.01,3.99,4.99
83,54.52,0,45.02,0,0,0,0,2,0,0,0.11,8.33,0,0,0,1.69E+12,0,3.6,4.6
84,48.24,0,44.84,0.02,0,0,1,0,0,0,0.12,7.86,0,0.02,0,1.69E+12,0.01,4.4,5.4
85,44.72,0,44.01,0.02,0,0,1,2,0,0,0.03,8.47,0,0.02,0,1.69E+12,0.01,3.63,4.63
86,48.83,0,50.81,0.07,0,0,0,3,0,0,0.06,9.26,0,0.06,0,1.69E+12,0,3.27,4.27
87,54.24,0,53.81,0.08,0,0,1,1,0,0,0.07,8.37,0,0.08,0,1.69E+12,0.01,1.37,2.37
88,50.79,1,45.38,0,0,0,2,0,0,0,0,8.57,0,0,0.26,1.69E+12,0.02,2.47,3.47
89,49.54,0,41.29,0,0,0,0,0,0,0,0.06,8.31,0,0,0,1.69E+12,0,2.06,3.06
90,52.75,0,54.28,0.03,0,0,4,0,0,0,0.03,8.06,0,0.03,0,1.69E+12,0.03,1.98,2.98
91,46.92,0,37.62,0,0.01,0,1,5,0,0,0.03,8.9,0,0,0,1.69E+12,0.01,4.89,5.89
92,49.68,0,39.84,0,0,0,0,1,0,0,0.06,9.29,0,0,0,1.69E+12,0,2.57,3.57
93,49.72,0,33.52,0,0,0,0,1,0,0,0.03,9.72,0,0,0,1.69E+12,0,4.57,5.57
94,42.14,0,36.26,0,0.01,0,1,0,0,0,0.04,9.46,0,0,0,1.69E+12,0.01,3.52,4.52
95,31.74,0,18.25,0.02,0,0,0,0,0,0,0.11,10.32,0,0.02,0,1.69E+12,0,4.18,5.18
96,26.1,0,12.82,0,0,0,0,0,0,0,0.17,11.45,0,0,0,1.69E+12,0,3.01,4.01
97,22.41,0,9.94,0,0.03,0.027643312,2,0,0,0,0,10.97,0.027643312,0,0,1.69E+12,0.03,3.31,4.31
98,19.97,0,5.57,0,0,0.027643312,0,1,0,0,0.04,11.08,0.027643312,0,0,1.69E+12,0,2.97,3.97
99,18.58,0,3.14,0,0,0.027643312,0,0,0,0,0.05,11.68,0.027643312,0,0,1.69E+12,0,1.78,2.78
100,19.03,0,3.28,0,0,0,0,0,0,0,0,11.32,0,0,0,1.69E+12,0,3.89,4.89
101,24.37,0,9.91,0,0,0,0,0,0,0,0.04,10.35,0,0,0,1.69E+12,0,2.12,3.12
102,32.76,0,15.73,0.02,0,0,0,4,0,0,0.03,9.61,0,0.02,0,1.69E+12,0,1.1,2.1
103,46.41,0,35.73,0.01,0.01,0,1,43,0,0,0.21,8.52,0,0.01,0,1.69E+12,0.01,3.58,4.58
104,57.25,0,44.42,0.01,0,0,0,5,0,0,0.13,8.48,0,0.01,0,1.69E+12,0,1.71,2.71
105,64.15,0,54.03,0.01,1.5,0,2,5,0,1,0.1,7.69,0,0.01,0,1.69E+12,0.01,4.76,5.76
106,63.34,0,46.5,0.02,0,0,1,6,0,0,0.04,7.88,0,0.02,0,1.69E+12,0.01,4.82,5.82
107,57.41,0,45.17,0.03,0,0,0,7,0,0,0.09,8.1,0,0.03,0,1.69E+12,0,4.66,5.66
108,59.83,0,57.29,0,0,0,1,6,0,1,0.09,8.14,0,0,0,1.69E+12,0.01,2.48,3.48
109,62.1,0,58.92,0,1.93,0,5,4,0,0,0.09,8.16,0,0,0,1.69E+12,0.04,1.06,2.06
110,62.65,0,58.83,0,0,0,2,0,0,0,0.07,8.13,0,0,0,1.69E+12,0.01,4.71,5.71
111,58.75,0,51.16,0.03,0,0,0,4,0,1,0.08,8.31,0,0.03,0,1.69E+12,0,2.71,3.71
112,64.68,0,65.27,0,0,0,2,0,0,1,0.1,7.82,0,0,0,1.69E+12,0.01,4.87,5.87
113,65.27,0,66.08,0.01,0,0,0,8,0,0,0.05,7.55,0,0.01,0,1.69E+12,0,4.85,5.85
114,65.42,0,65.05,0,0,0,1,3,0,0,0.1,7.31,0,0,0,1.69E+12,0.01,4.41,5.41
115,62.43,0,54.51,0,0,0,0,1,0,0,0.06,7.78,0,0,0,1.69E+12,0,2.18,3.18
116,58.83,0,48.85,0.01,0,0,0,1,0,0,0,8.3,0,0.01,0,1.69E+12,0,2.54,3.54
117,48.52,0,35.19,0,0,0,0,0,0,0,0.03,8.6,0,0,0,1.69E+12,0,4.4,5.4
118,39.01,0,23.26,0,0,0,0,0,0,0,0.04,9.07,0,0,0,1.69E+12,0,2.27,3.27
119,34.78,0,13.08,0,0,0,0,0,0,0,0,9.72,0,0,0,1.69E+12,0,1.68,2.68
120,31.03,0,15.47,0,0,0,0,0,0,0,0.04,10.45,0,0,0,1.69E+12,0,3.23,4.23
121,27.21,0,13.44,0,7.89,0.027643312,1,1,0,0,0.04,10.21,0.027643312,0,0,1.69E+12,0.01,4.74,5.74
122,25.46,0,7.47,0,0,0,0,0,0,0,0,10.72,0,0,0,1.69E+12,0,3.78,4.78
123,26.4,0,4.77,0,0,0.027643312,0,0,0,0,0,10.89,0.027643312,0,0,1.69E+12,0,3.28,4.28
124,26.33,0,6.48,0,0.17,0,1,1,0,0,0,10.8,0,0,0,1.69E+12,0.01,1.39,2.39
125,30.93,0,8.56,0,0,0,0,1,0,0,0.07,10.18,0,0,0,1.69E+12,0,3.46,4.46
126,37.49,0,21.69,0,0.02,0,2,1,0,0,0.09,9.46,0,0,0,1.69E+12,0.02,4.96,5.96
127,54.51,0,40.11,0,0.97,0,3,0,0,0,0.02,8.54,0,0,0,1.69E+12,0.02,1.56,2.56
128,57.46,0,37.86,0.01,2.31,0,1,18,0,1,0.09,8.5,0,0.01,0,1.69E+12,0.01,3.07,4.07
129,56.75,0,36.1,0.01,0.01,0,0,12,0,0,0.1,9.03,0,0.01,0,1.69E+12,0,4.51,5.51
130,56.46,0,41.16,0,0.01,0,0,2,0,0,0.15,8.66,0,0,0,1.69E+12,0,3.96,4.96
131,59.54,0,47.92,0,1.38,0,0,3,0,0,0.09,8.78,0,0,0,1.69E+12,0,3.79,4.79
132,63.32,0,56.94,0.02,0,0,0,1,0,0,0.03,7.55,0,0.02,0,1.69E+12,0,3.81,4.81
133,60.01,0,50.99,0.04,0,0,0,10,0,0,0.13,7.72,0,0.04,0,1.69E+12,0,2.44,3.44
134,56.31,0,50.13,0.04,2.13,0,0,10,0,0,0.05,8.07,0,0.04,0,1.69E+12,0,2.17,3.17
135,61.57,0,45.66,0,0,0,1,2,0,0,0.05,8.4,0,0,0,1.69E+12,0.01,4.24,5.24
136,65.42,0,56.79,0.01,0,0,0,5,0,0,0.1,8.31,0,0.01,0,1.69E+12,0,4.24,5.24
137,66.85,0,49.9,0,0,0,1,1,0,0,0.07,8.59,0,0,0,1.69E+12,0.01,4.47,5.47
138,71.73,0,61.22,0,0,0,1,1,0,0,0.02,8.33,0,0,0,1.69E+12,0.01,4.65,5.65
139,63.45,0,49.21,0,0.01,0,0,1,0,0,0.17,8.18,0,0,0,1.69E+12,0,3.05,4.05
140,52.58,0,33.5,0.02,0,0,0,0,0,0,0.06,8.61,0,0.02,0,1.69E+12,0,3.01,4.01
141,45.37,0,35.72,0,0,0,0,2,0,0,0.1,8.93,0,0,0,1.69E+12,0,4.19,5.19
142,40.09,0,32.02,0,0,0,0,0,0,0,0.07,8.98,0,0,0,1.69E+12,0,3.6,4.6
143,34.46,0,12.83,0,0,0,0,0,0,0,0.04,10.21,0,0,0,1.69E+12,0,3.81,4.81
144,33.15,0,10.47,0,0,0,0,0,0,0,0,10.3,0,0,0,1.69E+12,0,4.18,5.18
145,30.33,0,10.65,0,0,0,0,0,0,0,0.05,11,0,0,0,1.69E+12,0,4.56,5.56
146,30.02,0,8.83,0,0,0.027643312,0,0,0,0,0.04,10.94,0.027643312,0,0,1.69E+12,0,2.35,3.35
147,27.77,0,9.81,0,0,0,0,0,0,0,0.09,10.57,0,0,0,1.69E+12,0,2.5,3.5
148,28.63,0,14.61,0,0,0,0,1,0,0,0.04,9.93,0,0,0,1.69E+12,0,1.38,2.38
149,30.23,0,17.41,0.02,0,0,0,1,0,0,0.08,9.43,0,0.02,0,1.69E+12,0,3.31,4.31
150,41.85,0,22.72,0.02,0,0,1,5,0,0,0.07,9.22,0,0.02,0,1.69E+12,0.01,1.14,2.14
151,62.72,0,63.59,0.01,0,0,2,12,0,0,0.25,7.92,0,0.01,0,1.69E+12,0.01,2.86,3.86
152,54.13,0,44.5,0.04,0,0,0,3,0,0,0.05,8.58,0,0.04,0,1.69E+12,0,3.17,4.17
153,53.8,0,31.04,0,0,0,0,6,0,0,0.05,9,0,0,0,1.69E+12,0,2.15,3.15
154,55.16,0,29.8,0,0,0,0,0,0,0,0.08,8.84,0,0,0,1.69E+12,0,3.36,4.36
155,58.79,0,42.95,0.01,0.01,0,0,3,0,0,0.07,8.7,0,0.01,0,1.69E+12,0,1.12,2.12
156,58.88,0,56.5,0.01,0.01,0,1,0,0,0,0,7.53,0,0.01,0,1.69E+12,0.01,1.15,2.15
157,63.13,0,49.07,0,0,0,0,9,0,0,0.2,8.01,0,0,0,1.69E+12,0,4.29,5.29
158,84.57,0,75.42,0,1.24,0,2,14,0,0,0.17,7.67,0,0,0,1.69E+12,0.01,2.44,3.44
159,73.96,0,62.98,0.01,0,0,0,11,0,0,0.18,7.54,0,0.01,0,1.69E+12,0,1.51,2.51
160,69.03,0,67.8,0.02,0,0,1,4,0,0,0.05,7.64,0,0.02,0,1.69E+12,0.01,3.09,4.09
161,71.34,0,63.8,0,0.01,0,2,6,0,0,0.09,8.47,0,0,0,1.69E+12,0.01,4.08,5.08
162,66.72,0,54.72,0.02,0,0,1,1,0,0,0.09,8.74,0,0.02,0,1.69E+12,0.01,1.86,2.86
163,61.44,0,52.07,0,0,0,0,1,0,0,0,8.16,0,0,0,1.69E+12,0,3.49,4.49
164,54.47,0,43.02,0,0,0,0,3,0,0,0.08,9.11,0,0,0,1.69E+12,0,1.34,2.34
165,42.72,0,27.98,0,0,0,0,0,0,0,0.06,9.05,0,0,0,1.69E+12,0,1.21,2.21
166,34.28,0,14.83,0,0,0,1,1,0,0,0,10.2,0,0,0,1.69E+12,0.01,3.13,4.13
